Page Number,Text
27,"How Consensus can be reached without Identity? Naive
Way
Like lottery! We consider a system that assigns random token
id to individual node.
Assumption: We further assume, for the moment, that this
token generation and distribution algorithm is sufficiently
smart so that Sybil attack does not take place.
That is if the adversary is going to try to create a lot of Sybil
nodes, all of those Sybils together will get only one token.
This results to an implicit consensus"
28,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id"
29,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id
How a malicious adversary can subvert the process ?"
30,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id
How a malicious adversary can subvert the process ?
Can he steal the bitcoin ?"
31,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id
How a malicious adversary can subvert the process ?
Can he steal the bitcoin ? ?–No–"
32,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id
How a malicious adversary can subvert the process ?
Can he steal the bitcoin ? ?–No–
Can he mount DoS attack ?"
33,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id
How a malicious adversary can subvert the process ?
Can he steal the bitcoin ? ?–No–
Can he mount DoS attack ? –No–"
34,"How Consensus can be reached without Identity
Bitcoin Consensus Algorithm with Random Token Id
How a malicious adversary can subvert the process ?
Can he steal the bitcoin ? ?–No–
Can he mount DoS attack ? –No–
Can he mount Double Spending attack ?"
35,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
Alice is an online customer – perhaps malicious
Bob runs a server, sells softwares in exhange of bitcoins.
Alice adds an item to her shopping cart on Bob’s website and
the server requests payment.
Alice creates a Bitcoin transaction from her address to Bob’s
and broadcasts it to the network.
Some honest node creates the next block, and includes this
transaction in that block.
This transaction contains a hash pointer that refers to some
previous tx o/p that Alice received.
There are two different types of hash pointers here : (i) blocks
include a hash pointer to the previous block (ii) transactions
include one or more hash pointers to previous transaction
outputs that are being redeemed."
36,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
The latest block was generated by an honest node and
includes a Alice →Bob TX.
Upon seeing the TX included in the block chain, Bob
concludes that Alice has paid him and allows him to download
the software.
Suppose the next random node that is selected in the next
round happens to be controlled by Alice.
Alice proposes a block that ignores the block that contains
the payment to Bob and instead contains a pointer to the
previous block.
In that block that Alice includes a TX that transfers the very
coins that she was sending to Bob to herself."
37,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
The latest block was generated by an honest node and
includes a Alice →Bob TX.
Upon seeing the TX included in the block chain, Bob
concludes that Alice has paid him and allows him to download
the software.
Suppose the next random node that is selected in the next
round happens to be controlled by Alice.
Alice proposes a block that ignores the block that contains
the payment to Bob and instead contains a pointer to the
previous block.
In that block that Alice includes a TX that transfers the very
coins that she was sending to Bob to herself.
This is a classic double-spend pattern."
38,"Why Double Spending Attack occur?
Since the two transactions spend the same coins, only one of
them can be included in the block chain.
If Alice succeeds in including the payment to her own address
in the block chain, then the transaction in which she pays Bob
is useless as it can never be included later in the block chain."
39,"Why Double Spending Attack occur?
Since the two transactions spend the same coins, only one of
them can be included in the block chain.
If Alice succeeds in including the payment to her own address
in the block chain, then the transaction in which she pays Bob
is useless as it can never be included later in the block chain."
40,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
How to Determine whether a Double Spend Attack Succeeds
or not
It depends on which block will ultimately end up on the
long-term consensus chain
What determines which block will be included?
Honest nodes follow the policy of extending the longest valid
branch
So which branch will they extend?
If Alice succeeds in including the payment to her own address
in the blockchain, then the transaction in which she pays Bob
is useless!"
41,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
From the moral point of view, there is a difference between
the two blocks
From technical point of views, both of the blocks are valid.
In practice, nodes often follow a heuristic of extending the
block that they first heard about on the P2P network.
Caveat: due to network latency, invalid block gets to
extended.
Alice could further try to increase the likelihood of this
happening by bribing the next node to do so."
42,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
If the next node does build on the double-spend block (what
is the probability?), then this chain will now be longer than
the one that includes the transaction to Bob."
43,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
If the next node does build on the double-spend block (what
is the probability?), then this chain will now be longer than
the one that includes the transaction to Bob.
At this point, the next honest node is much more likely to
continue to build on this chain since it is longer. This process
will continue, and it will become increasingly likely that the
block containing the double-spend will be part of the
long-term consensus chain."
44,"Double Spending Attack on Simplified Bitcoin Consensus
Protocol
If the next node does build on the double-spend block (what
is the probability?), then this chain will now be longer than
the one that includes the transaction to Bob.
At this point, the next honest node is much more likely to
continue to build on this chain since it is longer. This process
will continue, and it will become increasingly likely that the
block containing the double-spend will be part of the
long-term consensus chain.
This results to orphan block"
45,Orphan Block
46,"How to Mitigate Double Spending
This introduces the concept of confirmations."
47,"How to Mitigate Double Spending
This introduces the concept of confirmations."
48,"How to Mitigate Double Spending
This introduces the concept of confirmations.
Double-spend probability decreases exponentially with the
number of confirmations."
49,"How to Mitigate Double Spending
This introduces the concept of confirmations.
Double-spend probability decreases exponentially with the
number of confirmations.
If the transaction that you are interested in has received k
confirmations, then the probability that a double-spend
transaction will end up on the long-term consensus chain goes
down exponentially as a function of k."
50,"How to Mitigate Double Spending
This introduces the concept of confirmations.
The most common heuristic is to wait for six confirmations."
51,"How to Mitigate Double Spending
This introduces the concept of confirmations.
The most common heuristic is to wait for six confirmations.
It’s a good tradeoff between the amount of time you have to
wait and your guarantee that the transaction you are
interested in ends up on the consensus block chain."
52,"How to Mitigate Double Spending
This introduces the concept of confirmations.
However, you are never 100% sure that a transaction you’re
interested in is on the consensus branch."
53,"How to Mitigate Double Spending
This introduces the concept of confirmations.
However, you are never 100% sure that a transaction you’re
interested in is on the consensus branch.
But, this exponential probability guarantee is rather good."
54,"How to Mitigate Double Spending
This introduces the concept of confirmations.
However, you are never 100% sure that a transaction you’re
interested in is on the consensus branch.
But, this exponential probability guarantee is rather good.
After about six transactions, there’s virtually no chance that
you’re going to go wrong."
55,"Incentivization of Bitcoin
We assumed that we’re able to pick a random node and,
perhaps more problematically, that at least 50 percent of the
time, the process will pick an honest node."
56,"Incentivization of Bitcoin
We assumed that we’re able to pick a random node and,
perhaps more problematically, that at least 50 percent of the
time, the process will pick an honest node.
This assumption of honesty is problematic to ensure in the
face of financial incentives for participants to subvert the
process"
57,"Incentivization of Bitcoin
We assumed that we’re able to pick a random node and,
perhaps more problematically, that at least 50 percent of the
time, the process will pick an honest node.
This assumption of honesty is problematic to ensure in the
face of financial incentives for participants to subvert the
process
The question then becomes: can we give nodes an incentive
for behaving honestly?"
58,"Incentivization of Bitcoin
Can we somehow penalize the node that created the block
with the double-spend transaction after the first confirmation
?"
59,"Incentivization of Bitcoin
Can we somehow penalize the node that created the block
with the double-spend transaction after the first confirmation
?
We flip the question around. Can we reward each of the nodes
that created the blocks that did end up on the long-term
consensus chain?"
60,"Incentivization of Bitcoin
Can we somehow penalize the node that created the block
with the double-spend transaction after the first confirmation
?
We flip the question around. Can we reward each of the nodes
that created the blocks that did end up on the long-term
consensus chain?
We’re going to use bitcoins to incentivize the nodes that
created these blocks."
61,"Incentivization of Bitcoin
Can we somehow penalize the node that created the block
with the double-spend transaction after the first confirmation
?
We flip the question around. Can we reward each of the nodes
that created the blocks that did end up on the long-term
consensus chain?
We’re going to use bitcoins to incentivize the nodes that
created these blocks.
Block reward"
62,"Incentivization of Bitcoin
Can we somehow penalize the node that created the block
with the double-spend transaction after the first confirmation
?
We flip the question around. Can we reward each of the nodes
that created the blocks that did end up on the long-term
consensus chain?
We’re going to use bitcoins to incentivize the nodes that
created these blocks.
Block reward
Transaction fees"
63,"Incentivization of Bitcoin
Block Reward
Node that creates a block gets to include a special transaction
– coinbase transaction (generates coins!) and the node can
also choose the recipient address of this transaction as its own.
Avoid Inflation? - There will only ever be 21 million Bitcoins
minted But Why?
Does block reward enforces nodes to act honestly ?
In the year 2140, there will be no block reward and the
generation of bitcoin will be stopped."
64,"Incentivization of Bitcoin
Block Reward
Node that creates a block gets to include a special transaction
– coinbase transaction (generates coins!) and the node can
also choose the recipient address of this transaction as its own.
Avoid Inflation? - There will only ever be 21 million Bitcoins
minted But Why?
Does block reward enforces nodes to act honestly ?
In the year 2140, there will be no block reward and the
generation of bitcoin will be stopped.
Does it make the system insecure as there is no incentive for
the nodes to act honestly ?"
65,"Incentivization of Bitcoin
Transaction Fees
The creator of any transaction can choose to make
total o/p value of the transaction < total i/p value of transactio
(1)
Whoever creates the block that puts that transaction into the
block chain gets to collect the difference, which acts a
transaction fee.
The transaction fee is purely voluntary. But as the block
reward starts to run out, it will become almost mandatory"
66,"Problem with selection of node
Problems to resolve in bitcoin consensus"
67,"Problem with selection of node
Problems to resolve in bitcoin consensus
How to pick a random node ?"
68,"Problem with selection of node
Problems to resolve in bitcoin consensus
How to pick a random node ?
Incentivization can make the system unstable"
69,"Problem with selection of node
Problems to resolve in bitcoin consensus
How to pick a random node ?
Incentivization can make the system unstable
What happens if an adversary creates a large number of Sybil
nodes"
